"idx" "cluster" "customer"
1 1 1
2 30 75
3 30 5
4 74 61
5 30 15
6 74 58
7 30 34
8 30 7
9 30 21
10 30 48
11 74 28
12 30 43
13 30 73
14 74 28
15 30 36
16 30 68
17 74 74
18 74 29
19 30 15
20 74 4
21 30 8
22 30 30
23 74 74
24 74 4
25 30 19
26 74 23
27 74 14
28 74 63
29 74 6
30 30 22
31 30 65
32 74 14
33 30 2
34 30 13
35 30 72
36 30 13
37 74 47
38 30 2
39 39 39
40 74 18
41 44 44
42 74 17
43 30 48
44 44 41
45 30 75
46 30 3
47 74 4
48 30 45
49 44 41
50 30 59
51 30 46
52 30 10
53 30 33
54 44 41
55 30 51
56 30 75
57 74 29
58 74 17
59 30 68
60 74 11
61 74 74
62 74 63
63 74 76
64 44 49
65 30 75
66 77 77
67 74 69
68 30 65
69 74 58
70 70 70
71 30 53
72 30 52
73 30 22
74 74 37
75 30 8
76 74 29
77 77 66
78 78 78
79 74 76
80 30 46
